Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
E0,02/11/2019,15:00,West Ham,Newcastle,2,3,A,0,2,A,S Attwell
E0,02/11/2019,17:30,Watford,Chelsea,1,2,A,0,1,A,A Taylor
E0,03/11/2019,14:00,Crystal Palace,Leicester,0,2,A,0,0,D,P Tierney
E0,03/11/2019,16:30,Everton,Tottenham,1,1,D,0,0,D,M Atkinson
E0,08/11/2019,20:00,Norwich,Watford,0,2,A,0,1,A,A Marriner
E0,09/11/2019,12:30,Chelsea,Crystal Palace,2,0,H,0,0,D,M Dean
E0,09/11/2019,15:00,Burnley,West Ham,3,0,H,2,0,H,K Friend
E0,09/11/2019,15:00,Newcastle,Bournemouth,2,1,H,1,1,D,M Atkinson
E0,09/11/2019,15:00,Southampton,Everton,1,2,A,0,1,A,P Tierney
E0,09/11/2019,15:00,Tottenham,Sheffield United,1,1,D,0,0,D,G Scott
E0,09/11/2019,17:30,Leicester,Arsenal,2,0,H,0,0,D,C Kavanagh
E0,10/11/2019,14:00,Man United,Brighton,3,1,H,2,0,H,J Moss
E0,10/11/2019,14:00,Wolves,Aston Villa,2,1,H,1,0,H,A Taylor
E0,10/11/2019,16:30,Liverpool,Man City,3,1,H,2,0,H,M Oliver
E0,23/11/2019,12:30,West Ham,Tottenham,2,3,A,0,2,A,M Oliver
E0,23/11/2019,15:00,Arsenal,Southampton,2,2,D,1,1,D,S Attwell
E0,23/11/2019,15:00,Bournemouth,Wolves,1,2,A,0,2,A,S Hooper
E0,23/11/2019,15:00,Brighton,Leicester,0,2,A,0,0,D,M Dean
E0,23/11/2019,15:00,Crystal Palace,Liverpool,1,2,A,0,0,D,K Friend
E0,23/11/2019,15:00,Everton,Norwich,0,2,A,0,0,D,A Taylor
E0,23/11/2019,15:00,Watford,Burnley,0,3,A,0,0,D,P Tierney
E0,23/11/2019,17:30,Man City,Chelsea,2,1,H,2,1,H,M Atkinson
E0,24/11/2019,16:30,Sheffield United,Man United,3,3,D,1,0,H,A Marriner
E0,25/11/2019,20:00,Aston Villa,Newcastle,2,0,H,2,0,H,L Mason
E0,30/11/2019,12:30,Newcastle,Man City,2,2,D,1,1,D,C Kavanagh
E0,30/11/2019,15:00,Burnley,Crystal Palace,0,2,A,0,1,A,P Bankes
E0,30/11/2019,15:00,Chelsea,West Ham,0,1,A,0,0,D,J Moss
E0,30/11/2019,15:00,Liverpool,Brighton,2,1,H,2,0,H,M Atkinson
E0,30/11/2019,15:00,Tottenham,Bournemouth,3,2,H,1,0,H,L Mason
E0,30/11/2019,17:30,Southampton,Watford,2,1,H,0,1,A,M Oliver
